n,algorithm,time_ms,char_comparisons,input_type
600,MSD Radix + QS,0.317,4527,almost_sorted
700,std::sort,0.876,34083,almost_sorted
700,StringMergeSort,1.130,10991,almost_sorted
700,StringQuickSort,0.420,10680,almost_sorted
700,MSD Radix,2.605,1686,almost_sorted
700,MSD Radix + QS,0.372,5355,almost_sorted
800,std::sort,1.021,38672,almost_sorted
800,StringMergeSort,1.305,12717,almost_sorted
800,StringQuickSort,0.506,13203,almost_sorted
800,MSD Radix,3.031,1929,almost_sorted
800,MSD Radix + QS,0.416,6069,almost_sorted
900,std::sort,1.166,46202,almost_sorted
900,StringMergeSort,1.457,14979,almost_sorted
900,StringQuickSort,0.591,15651,almost_sorted
900,MSD Radix,3.206,2162,almost_sorted
900,MSD Radix + QS,0.445,6802,almost_sorted
1000,std::sort,1.288,49596,almost_sorted
1000,StringMergeSort,1.608,17125,almost_sorted
1000,StringQuickSort,0.689,18701,almost_sorted
1000,MSD Radix,3.565,2414,almost_sorted
1000,MSD Radix + QS,0.488,7576,almost_sorted
1100,std::sort,1.404,54645,almost_sorted
1100,StringMergeSort,1.765,18583,almost_sorted
1100,StringQuickSort,0.825,22031,almost_sorted
1100,MSD Radix,3.985,2655,almost_sorted
1100,MSD Radix + QS,0.554,8335,almost_sorted
1200,std::sort,1.602,61112,almost_sorted
1200,StringMergeSort,1.970,19798,almost_sorted
1200,StringQuickSort,0.964,25687,almost_sorted
1200,MSD Radix,4.312,2887,almost_sorted
1200,MSD Radix + QS,0.601,9063,almost_sorted
1300,std::sort,1.535,55848,almost_sorted
1300,StringMergeSort,2.188,22143,almost_sorted
1300,StringQuickSort,1.103,29768,almost_sorted
1300,MSD Radix,4.536,3123,almost_sorted
1300,MSD Radix + QS,0.625,9803,almost_sorted
1400,std::sort,1.591,58462,almost_sorted
1400,StringMergeSort,2.298,23763,almost_sorted
1400,StringQuickSort,1.234,34104,almost_sorted
1400,MSD Radix,4.850,3367,almost_sorted
1400,MSD Radix + QS,0.671,10562,almost_sorted
1500,std::sort,1.819,68939,almost_sorted
1500,StringMergeSort,2.481,26144,almost_sorted
1500,StringQuickSort,1.422,38910,almost_sorted
1500,MSD Radix,5.315,3613,almost_sorted
1500,MSD Radix + QS,0.737,11308,almost_sorted
1600,std::sort,1.897,70206,almost_sorted
1600,StringMergeSort,2.740,27911,almost_sorted
1600,StringQuickSort,1.610,43530,almost_sorted
1600,MSD Radix,5.763,3859,almost_sorted
1600,MSD Radix + QS,0.813,12117,almost_sorted
1700,std::sort,1.932,72236,almost_sorted
1700,StringMergeSort,2.874,30420,almost_sorted
1700,StringQuickSort,1.778,48475,almost_sorted
1700,MSD Radix,5.940,4098,almost_sorted
1700,MSD Radix + QS,0.818,12823,almost_sorted
1800,std::sort,2.147,79972,almost_sorted
1800,StringMergeSort,3.037,31552,almost_sorted
1800,StringQuickSort,1.941,53966,almost_sorted
1800,MSD Radix,6.365,4342,almost_sorted
1800,MSD Radix + QS,0.895,13527,almost_sorted
1900,std::sort,2.295,85996,almost_sorted
1900,StringMergeSort,3.332,34101,almost_sorted
1900,StringQuickSort,2.190,59442,almost_sorted
1900,MSD Radix,6.709,4594,almost_sorted
1900,MSD Radix + QS,0.907,14196,almost_sorted
2000,std::sort,2.390,92097,almost_sorted
2000,StringMergeSort,3.397,36053,almost_sorted
2000,StringQuickSort,2.128,59461,almost_sorted
2000,MSD Radix,6.971,4840,almost_sorted
2000,MSD Radix + QS,0.954,15000,almost_sorted
2100,std::sort,2.605,99847,almost_sorted
2100,StringMergeSort,3.577,38258,almost_sorted
2100,StringQuickSort,2.303,63368,almost_sorted
2100,MSD Radix,7.549,5091,almost_sorted
2100,MSD Radix + QS,1.052,15767,almost_sorted
2200,std::sort,2.723,101259,almost_sorted
2200,StringMergeSort,3.896,40142,almost_sorted
2200,StringQuickSort,2.462,67502,almost_sorted
2200,MSD Radix,7.791,5334,almost_sorted
2200,MSD Radix + QS,1.052,16525,almost_sorted
2300,std::sort,2.874,106909,almost_sorted
2300,StringMergeSort,3.980,42310,almost_sorted
2300,StringQuickSort,2.576,71944,almost_sorted
2300,MSD Radix,8.225,5581,almost_sorted
2300,MSD Radix + QS,1.131,17309,almost_sorted
2400,std::sort,3.156,116940,almost_sorted
2400,StringMergeSort,4.275,44086,almost_sorted
2400,StringQuickSort,3.181,87394,almost_sorted
2400,MSD Radix,8.567,5824,almost_sorted
